,시도코드,시도명,십만명당 회피가능사망수,총 인구,주민등록인구,면적(2019),인구당 요양급여비,인구당 입내원일수,천명당 의료인수,천명당 의사수,천명당 간호사수,면적당 의료인수,면적당 의료인수(상급),면적당 의료인수(상급+종합),면적당 의료인수(종합),면적당 의료인수(병원),면적당 의료인수(의원),천명당 병상수,천명당 요양기관수,천명당 요양기관수(상급),천명당 요양기관수(상급+종합),천명당 요양기관수(종합),천명당 요양기관수(병원),천명당 요양기관수(의원),면적당 요양기관수,면적당 요양기관수(상급),면적당 요양기관수(상급+종합),면적당 요양기관수(종합),면적당 요양기관수(병원),면적당 요양기관수(의원)
0,11,서울특별시,66.4969421261863,9639541,9729107,605237001.6,19486.007369023067,0.4347742283579685,11.805913944619995,3.12043027176081,5.419510752631254,0.00012794326816650465,5.426138837047599e-05,8.624059643084452e-05,3.197920806036853e-05,1.3391448273277547e-05,2.8311223462382574e-05,9.1,0.9172475952828969,0.0013486119307962899,0.005913144619645272,0.004564532688848981,0.02365257847858109,0.8950633645315684,1.474463718577777e-05,2.1479189087305132e-08,9.417798292126097e-08,7.269879383395584e-08,3.767119316850439e-07,1.4255572572712977e-05
1,21,부산광역시,86.37017551558222,3372692,3413841,770073413.2,25404.97949116018,0.567675020428785,10.846433679834533,2.3457448662664726,5.423216839917266,2.8838808897083993e-05,7.952488548529466e-06,1.8396947300296692e-05,1.0444458751767226e-05,5.725428153244026e-06,4.716433443543276e-06,20.5,0.7545752716661379,0.0011859962309039782,0.008598472674053842,0.0074124764431498635,0.04210286619709122,0.706853753618771,3.345135614143028e-06,5.194309959849423e-09,3.765874720890831e-08,3.246443724905889e-08,1.843980035746545e-07,3.095808736070256e-06
2,22,대구광역시,61.359539741722024,2429940,2438031,883517307.5,20611.235100455156,0.4584010304781188,10.700028014409993,2.423266972405191,5.1504677340033815,1.8903987344922497e-05,7.294707127171926e-06,1.030426899701679e-05,3.0095618698448646e-06,4.8408785698858535e-06,3.758839778019855e-06,15.6,0.7998257610342117,0.0020576639752421873,0.006584524720774999,0.0045268607455328114,0.044857074660279675,0.7419936294723327,2.2070874938689303e-06,5.659198702228026e-09,1.8109435847129684e-08,1.2450237144901658e-08,1.2337053170857098e-07,2.0407070520234264e-06
3,23,인천광역시,65.64513621365764,2952237,2957026,1063257851.1,20191.1945179198,0.4308797024087158,8.143655145406226,1.7148986853683397,3.9360492603041024,1.3807563221669776e-05,5.0044304817454456e-06,9.201907128997827e-06,4.197476647252382e-06,2.0992085764434945e-06,2.5064475162284556e-06,11.6,0.5671238602568933,0.001016178579158787,0.006435797668005651,0.0054196190888468635,0.021001023969281597,0.5328163016722574,1.5772279492364426e-06,2.821516903821901e-09,1.7869607057538708e-08,1.5048090153716805e-08,5.831134934565262e-08,1.4794153632372835e-06
4,24,광주광역시,60.682137031542645,1489730,1456468,501136260.8,22094.906244755763,0.4673195814006565,12.245377172721955,2.511555351713872,6.144316249996568,2.092045780775e-05,5.315919458207363e-06,1.2623313247980398e-05,7.307393789773034e-06,4.8150576774228104e-06,3.4820868823467903e-06,27.6,0.7380869335955201,0.0013425251555651025,0.015439039288998679,0.014096514133433576,0.0537010062226041,0.6363569237378586,2.14512515674659e-06,3.990930524179702e-09,4.589570102806657e-08,4.1904770503886874e-08,1.5963722096718808e-07,1.8917010684611788e-06
5,25,대전광역시,55.576349427790454,1498839,1474870,539626514.9,20185.376621505045,0.4801015986373453,10.67619519008455,2.5263243540108618,4.849918975909741,1.7515818328073782e-05,3.396793799762933e-06,1.111138877434727e-05,7.714594974584338e-06,2.8816226724666454e-06,3.522806881259867e-06,15.9,0.7892221009309295,0.0006671830663600294,0.006671830663600293,0.006004647597240264,0.0340263363843615,0.7192233455361117,2.1570474538592767e-06,1.8531335514254955e-09,1.8531335514254954e-08,1.667820196282946e-08,9.450981112270027e-08,1.997677968436684e-06
6,26,울산광역시,52.72398512886336,1143692,1148019,1062038814.4,21457.694379255954,0.4639763153016721,7.796038218879652,1.5278492777558559,4.017355113460666,5.170244180860891e-06,0.0,3.133595453269905e-06,3.133595453269905e-06,1.0621080743054244e-06,9.745406532855623e-07,13.3,0.5975510858269767,0.0,0.006994890232685023,0.006994890232685023,0.037597535000682,0.5324860189631474,6.459274281680152e-07,0.0,7.532681378052655e-09,7.532681378052655e-09,4.0488162407033024e-08,5.734253699042584e-07
7,29,세종특별자치시,37.85459105212104,338136,340575,10192514246.5,17358.031620413087,0.44392788700404573,3.2562577993099904,0.8867356676209351,0.6459663803861116,3.904826526356526e-08,0.0,7.260230224883993e-09,7.260230224883993e-09,0.0,3.178803503868127e-08,4.2,0.6195404830066801,0.0,0.002957389925946956,0.002957389925946956,0.0,0.535287576596399,2.07014672628449e-08,0.0,9.811121925518909e-11,9.811121925518909e-11,0.0,1.7758130685189228e-08
8,31,경기도,59.49221481253149,13300900,13239666,464949680.2,18655.53184671714,0.4213882519228022,6.927893800342092,1.6020041593194267,2.9981118859040703,0.00011100341004170455,1.878482849207044e-05,6.468011761415553e-05,4.5895289122085085e-05,1.8574052994907296e-05,2.7749239432641728e-05,10.1,0.5617211189466562,0.00037591441180671983,0.004811704471126014,0.0044357900593192945,0.020825658414092278,0.5311670638828951,1.59952793102276e-05,1.0753851896078797e-08,1.376493042698086e-07,1.268954523737298e-07,5.957633950427654e-07,1.519519272915934e-05
9,32,강원도,120.77938224898314,1520127,1541502,16828280725.7,21200.306316511713,0.5094804578827953,7.859217827806907,1.7638640754277322,3.9202025037917565,4.5720653971797556e-07,7.974670864329649e-08,2.950984762463565e-07,2.1535176760305997e-07,7.21404651959478e-08,8.99675982756713e-08,11.3,0.5585461452531363,0.0006578397725979473,0.009867596588969211,0.009209756816371263,0.029602789766907632,0.5058787851278216,5.116387193880647e-08,5.94237769324117e-11,8.913566539861754e-10,8.319328770537637e-10,2.674069961958526e-09,4.569688446102459e-08
